Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
31691	360	random	interleave	forward	single	32220	32220	0.00
31692	720	evenodd	forward	revfwd	zipper	719	719	0.00
31693	360	random	revfwd	fwdrev	zipper	32040	32040	0.00
31694	120	random	fwdrev	forward	zipper	3480	3480	0.00
31695	240	insertion	forward	fwdrev	zipper	14160	14160	0.00
31696	240	quick	fwdrev	reverse	zipper	401	420	0.05
31697	240	quick	reverse	revfwd	zipper	496	464	0.07
31698	240	dinsertion	revfwd	forward	zipper	14160	14160	0.00
31699	240	evenodd	forward	revfwd	zipper	239	239	0.00
31700	240	merge	revfwd	fwdrev	zipper	120	120	0.00
31701	240	merge	fwdrev	forward	zipper	238	238	0.00
31702	120	dinsertion	forward	fwdrev	zipper	3480	3480	0.00
31703	360	quick	fwdrev	revfwd	zipper	430	429	0.00
31704	120	evenodd	revfwd	forward	zipper	119	119	0.00
31705	360	merge	forward	revfwd	zipper	180	182	0.01
31706	180	quick	revfwd	fwdrev	zipper	215	212	0.01
31707	180	swap	fwdrev	revfwd	zipper	874	852	0.03
31708	60	quick	revfwd	reverse	zipper	67	72	0.07
31709	120	selection	reverse	revfwd	zipper	3480	3480	0.00
