Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
1	720	random	fwdrev	revfwd	rightleft	129240	129240	0.00
2	240	evenodd	revfwd	fwdrev	rightleft	239	239	0.00
3	120	swap	fwdrev	revfwd	rightleft	560	544	0.03
4	40	merge	revfwd	fwdrev	rightleft	20	20	0.00
5	40	dinsertion	forward	reverse	zipper	720	720	0.00
6	40	dinsertion	reverse	fwdrev	zipper	360	360	0.00
7	20	evenodd	fwdrev	revfwd	zipper	19	19	0.00
8	20	random	revfwd	fwdrev	zipper	80	80	0.00
9	20	quick	fwdrev	forward	zipper	17	15	0.12
10	20	insertion	fwdrev	revfwd	rightleft	90	90	0.00
11	60	random	revfwd	fwdrev	rightleft	870	870	0.00
12	60	selection	fwdrev	revfwd	rightleft	870	870	0.00
13	120	dinsertion	revfwd	fwdrev	rightleft	3540	3540	0.00
14	360	quick	fwdrev	revfwd	rightleft	506	483	0.05
15	360	evenodd	revfwd	fwdrev	rightleft	359	359	0.00
16	360	random	forward	revfwd	zipper	32040	32040	0.00
17	360	selection	revfwd	reverse	zipper	32040	32040	0.00
18	360	selection	reverse	revfwd	zipper	32040	32040	0.00
19	360	quick	revfwd	reverse	zipper	588	592	0.01
20	180	insertion	reverse	forward	single	16110	16110	0.00
21	360	evenodd	fwdrev	revfwd	rightleft	359	359	0.00
22	360	dinsertion	revfwd	fwdrev	rightleft	32220	32220	0.00
23	180	swap	fwdrev	revfwd	rightleft	946	948	0.00
24	60	evenodd	revfwd	fwdrev	rightleft	59	59	0.00
25	60	insertion	fwdrev	revfwd	rightleft	870	870	0.00
26	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
27	60	swap	fwdrev	revfwd	rightleft	220	223	0.01
28	60	insertion	revfwd	fwdrev	rightleft	870	870	0.00
29	180	quick	fwdrev	revfwd	rightleft	248	239	0.04
30	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
31	60	triple	fwdrev	revfwd	rightleft	59	59	0.00
32	180	dinsertion	revfwd	fwdrev	rightleft	8010	8010	0.00
33	90	random	fwdrev	revfwd	rightleft	1980	1980	0.00
34	90	merge	revfwd	fwdrev	rightleft	45	45	0.00
35	90	insertion	fwdrev	revfwd	rightleft	1980	1980	0.00
36	90	merge	revfwd	fwdrev	rightleft	45	45	0.00
37	180	selection	fwdrev	revfwd	rightleft	8010	8010	0.00
38	180	triple	revfwd	fwdrev	rightleft	179	179	0.00
39	360	dinsertion	fwdrev	revfwd	rightleft	32220	32220	0.00
40	180	dinsertion	reverse	revfwd	single	8010	8010	0.00
41	360	random	revfwd	fwdrev	zipper	32040	32040	0.00
42	360	triple	fwdrev	reverse	zipper	241	241	0.00
43	180	insertion	reverse	revfwd	single	8010	8010	0.00
44	180	swap	revfwd	random	single	893	914	0.02
45	180	triple	random	revfwd	single	99	87	0.13
46	180	merge	revfwd	fwdrev	single	90	90	0.00
47	90	evenodd	fwdrev	revfwd	single	89	89	0.00
48	90	evenodd	revfwd	forward	single	89	89	0.00
49	90	quick	forward	fwdrev	single	181	166	0.09
50	180	insertion	fwdrev	forward	single	8010	8010	0.00
51	360	evenodd	forward	random	single	336	350	0.04
52	360	quick	random	interleave	single	813	868	0.07
53	360	merge	interleave	fwdrev	single	366	371	0.01
54	720	merge	fwdrev	revfwd	zipper	360	360	0.00
55	720	insertion	revfwd	forward	zipper	128880	128880	0.00
56	720	dinsertion	forward	reverse	zipper	257760	257760	0.00
57	720	swap	reverse	forward	zipper	3444	4587	0.28
58	240	swap	forward	reverse	zipper	1161	1198	0.03
59	240	insertion	reverse	fwdrev	zipper	14160	14160	0.00
60	120	merge	fwdrev	forward	zipper	118	118	0.00
61	60	evenodd	forward	revfwd	zipper	59	59	0.00
62	60	evenodd	revfwd	reverse	zipper	58	58	0.00
63	60	insertion	revfwd	fwdrev	rightleft	870	870	0.00
64	60	random	fwdrev	revfwd	rightleft	870	870	0.00
65	60	swap	revfwd	fwdrev	rightleft	221	213	0.04
66	60	swap	fwdrev	revfwd	rightleft	220	226	0.03
67	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
68	60	random	fwdrev	revfwd	rightleft	870	870	0.00
69	30	swap	reverse	revfwd	single	75	68	0.10
70	30	insertion	revfwd	interleave	single	210	211	0.00
71	30	merge	interleave	reverse	single	30	29	0.03
72	30	triple	reverse	random	single	16	15	0.06
73	30	selection	random	interleave	single	216	189	0.13
74	30	insertion	interleave	forward	single	210	210	0.00
75	90	swap	forward	revfwd	single	355	365	0.03
76	30	insertion	revfwd	fwdrev	single	225	225	0.00
77	30	swap	fwdrev	interleave	single	80	74	0.08
78	30	selection	interleave	revfwd	single	210	211	0.00
79	30	selection	revfwd	forward	single	225	225	0.00
80	60	merge	fwdrev	revfwd	rightleft	30	30	0.00
81	180	evenodd	revfwd	fwdrev	rightleft	179	179	0.00
82	90	evenodd	forward	random	single	80	84	0.05
83	90	triple	random	interleave	single	49	45	0.09
84	90	merge	interleave	fwdrev	single	94	96	0.02
85	90	dinsertion	fwdrev	interleave	single	1980	1980	0.00
86	90	swap	interleave	fwdrev	single	376	360	0.04
87	180	swap	fwdrev	reverse	single	862	840	0.03
88	180	evenodd	reverse	interleave	single	179	179	0.00
89	180	quick	interleave	reverse	single	368	346	0.06
90	360	merge	revfwd	fwdrev	rightleft	180	180	0.00
91	360	insertion	fwdrev	revfwd	rightleft	32220	32220	0.00
92	180	random	revfwd	fwdrev	rightleft	8010	8010	0.00
93	180	selection	fwdrev	revfwd	rightleft	8010	8010	0.00
94	180	dinsertion	revfwd	fwdrev	rightleft	8010	8010	0.00
95	90	swap	forward	revfwd	single	355	333	0.06
96	90	triple	revfwd	reverse	single	59	60	0.02
97	180	dinsertion	reverse	forward	single	16110	16110	0.00
98	180	triple	forward	reverse	single	177	179	0.01
99	360	dinsertion	revfwd	fwdrev	rightleft	32220	32220	0.00
100	360	swap	fwdrev	revfwd	rightleft	2259	2214	0.02
101	360	insertion	revfwd	fwdrev	rightleft	32220	32220	0.00
102	720	insertion	fwdrev	revfwd	rightleft	129240	129240	0.00
103	360	triple	revfwd	fwdrev	rightleft	359	359	0.00
104	360	swap	fwdrev	revfwd	rightleft	2259	2282	0.01
105	120	quick	revfwd	fwdrev	rightleft	164	173	0.05
106	120	dinsertion	fwdrev	revfwd	rightleft	3540	3540	0.00
107	40	selection	revfwd	fwdrev	rightleft	380	380	0.00
108	40	random	fwdrev	revfwd	rightleft	380	380	0.00
109	120	merge	revfwd	fwdrev	rightleft	60	60	0.00
110	120	random	fwdrev	revfwd	rightleft	3540	3540	0.00
111	120	insertion	revfwd	fwdrev	rightleft	3540	3540	0.00
112	120	insertion	fwdrev	revfwd	rightleft	3540	3540	0.00
113	120	insertion	revfwd	fwdrev	rightleft	3540	3540	0.00
114	60	swap	forward	reverse	single	243	266	0.09
115	120	dinsertion	revfwd	fwdrev	rightleft	3540	3540	0.00
116	240	selection	fwdrev	revfwd	rightleft	14280	14280	0.00
117	240	dinsertion	revfwd	fwdrev	rightleft	14280	14280	0.00
118	80	quick	fwdrev	revfwd	rightleft	109	107	0.02
119	80	dinsertion	revfwd	fwdrev	rightleft	1560	1560	0.00
120	80	swap	fwdrev	revfwd	rightleft	327	344	0.05
121	80	swap	revfwd	fwdrev	rightleft	325	320	0.02
122	240	selection	fwdrev	revfwd	rightleft	14280	14280	0.00
123	80	insertion	revfwd	fwdrev	rightleft	1560	1560	0.00
124	80	dinsertion	forward	revfwd	zipper	1520	1520	0.00
125	80	triple	revfwd	reverse	zipper	54	53	0.02
126	80	quick	reverse	fwdrev	zipper	130	131	0.01
127	80	selection	fwdrev	reverse	zipper	1520	1520	0.00
128	80	merge	reverse	revfwd	zipper	80	80	0.00
129	240	random	revfwd	reverse	zipper	14160	14160	0.00
130	240	merge	revfwd	fwdrev	rightleft	120	120	0.00
131	240	random	fwdrev	revfwd	rightleft	14280	14280	0.00
132	240	swap	reverse	fwdrev	zipper	1131	1140	0.01
133	120	triple	fwdrev	forward	zipper	80	80	0.00
134	40	triple	forward	revfwd	zipper	26	27	0.04
135	120	evenodd	revfwd	fwdrev	zipper	119	119	0.00
136	120	quick	fwdrev	revfwd	zipper	143	154	0.07
137	120	quick	revfwd	forward	zipper	181	188	0.04
138	40	random	forward	revfwd	zipper	360	360	0.00
139	40	merge	revfwd	reverse	zipper	38	38	0.00
140	20	insertion	reverse	forward	zipper	160	160	0.00
141	20	triple	forward	reverse	zipper	20	19	0.05
142	20	swap	reverse	fwdrev	zipper	30	39	0.26
143	20	swap	fwdrev	forward	zipper	24	24	0.00
144	40	triple	forward	reverse	zipper	40	40	0.00
145	120	evenodd	reverse	revfwd	zipper	118	118	0.00
146	120	dinsertion	revfwd	reverse	zipper	3480	3480	0.00
147	120	evenodd	revfwd	fwdrev	rightleft	119	119	0.00
148	60	dinsertion	forward	revfwd	single	900	900	0.00
149	60	dinsertion	revfwd	forward	single	900	900	0.00
150	120	merge	forward	fwdrev	single	122	119	0.02
151	40	evenodd	fwdrev	revfwd	single	39	39	0.00
152	20	triple	revfwd	interleave	single	12	13	0.08
153	20	triple	interleave	forward	single	13	13	0.00
154	10	insertion	forward	interleave	single	20	20	0.00
155	10	swap	interleave	fwdrev	single	10	18	0.57
156	10	merge	fwdrev	forward	single	8	8	0.00
157	5	swap	forward	revfwd	single	4	6	0.40
158	15	swap	revfwd	forward	single	28	24	0.15
159	45	evenodd	forward	random	single	39	45	0.14
160	45	evenodd	random	reverse	single	37	37	0.00
161	90	swap	reverse	random	single	353	387	0.09
162	90	selection	random	forward	single	1990	1750	0.13
163	180	dinsertion	forward	revfwd	single	8100	8100	0.00
164	180	insertion	revfwd	forward	single	8100	8100	0.00
165	180	triple	forward	random	single	93	103	0.10
166	180	triple	random	reverse	single	95	87	0.09
167	180	evenodd	reverse	interleave	single	179	179	0.00
168	180	selection	interleave	forward	single	8010	8010	0.00
169	180	merge	forward	interleave	single	179	178	0.01
170	180	triple	interleave	reverse	single	122	120	0.02
171	60	triple	reverse	revfwd	single	40	40	0.00
172	60	merge	revfwd	interleave	single	57	57	0.00
173	60	quick	interleave	fwdrev	single	108	104	0.04
174	60	swap	fwdrev	revfwd	single	230	224	0.03
175	60	triple	revfwd	reverse	single	40	40	0.00
176	60	quick	reverse	interleave	single	94	100	0.06
177	60	random	interleave	fwdrev	single	870	870	0.00
178	60	dinsertion	fwdrev	forward	single	870	870	0.00
179	20	quick	forward	reverse	single	28	28	0.00
180	20	quick	reverse	revfwd	single	27	26	0.04
181	20	evenodd	revfwd	reverse	single	18	18	0.00
182	40	random	reverse	revfwd	single	380	380	0.00
183	80	evenodd	revfwd	forward	zipper	79	79	0.00
184	240	evenodd	forward	reverse	zipper	240	240	0.00
185	120	dinsertion	reverse	fwdrev	single	3600	3600	0.00
186	120	selection	fwdrev	reverse	single	3600	3600	0.00
187	60	selection	reverse	fwdrev	single	900	900	0.00
188	60	quick	fwdrev	forward	single	97	102	0.05
189	120	selection	forward	fwdrev	single	3540	3540	0.00
190	40	triple	fwdrev	forward	single	27	27	0.00
191	40	dinsertion	forward	revfwd	single	400	400	0.00
192	20	triple	revfwd	reverse	single	13	13	0.00
193	40	random	revfwd	fwdrev	rightleft	380	380	0.00
194	40	dinsertion	forward	reverse	zipper	720	720	0.00
195	40	insertion	reverse	revfwd	zipper	360	360	0.00
196	40	dinsertion	revfwd	reverse	zipper	360	360	0.00
197	40	evenodd	revfwd	fwdrev	rightleft	39	39	0.00
198	40	selection	fwdrev	revfwd	rightleft	380	380	0.00
199	40	random	revfwd	fwdrev	rightleft	380	380	0.00
200	40	merge	fwdrev	revfwd	rightleft	20	20	0.00
201	40	evenodd	revfwd	fwdrev	rightleft	39	39	0.00
202	40	triple	fwdrev	revfwd	rightleft	39	39	0.00
203	40	selection	revfwd	fwdrev	rightleft	380	380	0.00
204	40	selection	fwdrev	revfwd	rightleft	380	380	0.00
205	80	selection	revfwd	fwdrev	rightleft	1560	1560	0.00
206	80	selection	forward	fwdrev	zipper	1520	1520	0.00
207	40	quick	fwdrev	interleave	single	66	64	0.03
208	40	selection	interleave	reverse	single	400	400	0.00
209	40	random	reverse	forward	single	780	780	0.00
210	40	insertion	forward	interleave	single	380	380	0.00
211	40	swap	interleave	forward	single	108	104	0.04
212	20	selection	forward	reverse	single	190	190	0.00
213	40	merge	revfwd	fwdrev	rightleft	20	20	0.00
214	40	triple	fwdrev	revfwd	rightleft	39	39	0.00
215	40	insertion	revfwd	fwdrev	rightleft	380	380	0.00
216	40	random	forward	reverse	zipper	720	720	0.00
217	80	quick	reverse	fwdrev	zipper	130	131	0.01
218	80	quick	fwdrev	forward	zipper	96	92	0.04
219	80	selection	fwdrev	revfwd	rightleft	1560	1560	0.00
220	80	random	revfwd	fwdrev	rightleft	1560	1560	0.00
221	80	selection	fwdrev	revfwd	rightleft	1560	1560	0.00
222	80	triple	revfwd	fwdrev	rightleft	79	79	0.00
223	80	triple	fwdrev	revfwd	rightleft	79	79	0.00
224	80	insertion	revfwd	fwdrev	rightleft	1560	1560	0.00
225	40	quick	forward	fwdrev	single	66	72	0.09
226	40	evenodd	fwdrev	revfwd	single	39	39	0.00
227	20	random	revfwd	random	single	88	102	0.15
228	20	merge	random	reverse	single	20	22	0.10
229	40	insertion	reverse	revfwd	zipper	360	360	0.00
230	40	quick	revfwd	forward	zipper	48	45	0.06
231	40	triple	forward	reverse	zipper	40	40	0.00
232	40	random	revfwd	fwdrev	rightleft	380	380	0.00
233	40	evenodd	fwdrev	revfwd	rightleft	39	39	0.00
234	20	insertion	revfwd	fwdrev	rightleft	90	90	0.00
235	10	random	fwdrev	revfwd	rightleft	20	20	0.00
236	20	insertion	revfwd	fwdrev	rightleft	90	90	0.00
237	20	selection	fwdrev	revfwd	rightleft	90	90	0.00
238	60	evenodd	revfwd	fwdrev	rightleft	59	59	0.00
239	60	insertion	fwdrev	revfwd	rightleft	870	870	0.00
240	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
241	20	insertion	fwdrev	revfwd	rightleft	90	90	0.00
242	10	merge	revfwd	fwdrev	rightleft	5	5	0.00
243	5	merge	forward	interleave	single	3	3	0.00
244	5	dinsertion	interleave	revfwd	single	4	4	0.00
245	5	random	revfwd	reverse	single	4	4	0.00
246	10	selection	revfwd	fwdrev	rightleft	20	20	0.00
247	10	dinsertion	fwdrev	revfwd	rightleft	20	20	0.00
248	30	merge	revfwd	fwdrev	rightleft	15	15	0.00
249	90	dinsertion	fwdrev	revfwd	rightleft	1980	1980	0.00
250	90	insertion	revfwd	fwdrev	rightleft	1980	1980	0.00
251	30	merge	fwdrev	revfwd	rightleft	15	15	0.00
252	30	dinsertion	revfwd	fwdrev	rightleft	210	210	0.00
253	30	triple	fwdrev	revfwd	rightleft	29	29	0.00
254	90	triple	revfwd	fwdrev	rightleft	89	89	0.00
255	90	dinsertion	fwdrev	revfwd	rightleft	1980	1980	0.00
256	30	insertion	revfwd	fwdrev	rightleft	210	210	0.00
257	30	quick	fwdrev	revfwd	rightleft	39	41	0.05
258	30	quick	revfwd	fwdrev	rightleft	39	41	0.05
259	30	selection	fwdrev	revfwd	rightleft	210	210	0.00
260	30	triple	revfwd	fwdrev	rightleft	29	29	0.00
261	30	dinsertion	fwdrev	revfwd	rightleft	210	210	0.00
262	60	triple	revfwd	fwdrev	rightleft	59	59	0.00
263	120	merge	fwdrev	revfwd	rightleft	60	60	0.00
264	120	selection	revfwd	fwdrev	rightleft	3540	3540	0.00
265	40	merge	fwdrev	revfwd	rightleft	20	20	0.00
266	40	swap	revfwd	fwdrev	rightleft	126	129	0.02
267	80	dinsertion	fwdrev	revfwd	rightleft	1560	1560	0.00
268	40	triple	reverse	revfwd	single	27	26	0.04
269	40	triple	revfwd	reverse	single	27	27	0.00
270	40	insertion	reverse	fwdrev	single	400	400	0.00
271	120	insertion	fwdrev	revfwd	single	3600	3600	0.00
272	240	random	revfwd	forward	zipper	14160	14160	0.00
273	120	merge	forward	fwdrev	single	122	119	0.02
274	240	merge	fwdrev	forward	zipper	238	238	0.00
275	120	random	forward	reverse	zipper	6960	6960	0.00
276	120	dinsertion	reverse	fwdrev	zipper	3480	3480	0.00
277	60	swap	fwdrev	interleave	single	221	176	0.23
278	60	quick	interleave	fwdrev	single	108	104	0.04
279	60	merge	fwdrev	forward	single	58	58	0.00
280	60	insertion	forward	interleave	single	870	870	0.00
281	60	merge	interleave	fwdrev	single	62	63	0.02
282	60	evenodd	fwdrev	reverse	single	59	59	0.00
283	120	evenodd	revfwd	fwdrev	rightleft	119	119	0.00
284	120	random	fwdrev	revfwd	rightleft	3540	3540	0.00
285	120	dinsertion	reverse	revfwd	zipper	3480	3480	0.00
286	120	evenodd	revfwd	forward	zipper	119	119	0.00
287	360	swap	forward	revfwd	zipper	2042	1957	0.04
288	360	quick	revfwd	reverse	zipper	588	592	0.01
289	120	merge	reverse	forward	zipper	119	119	0.00
290	120	triple	fwdrev	revfwd	rightleft	119	119	0.00
291	120	quick	revfwd	fwdrev	rightleft	164	173	0.05
292	120	selection	forward	reverse	zipper	6960	6960	0.00
293	240	insertion	reverse	forward	zipper	28320	28320	0.00
294	120	dinsertion	forward	revfwd	single	3600	3600	0.00
295	60	random	revfwd	random	single	871	947	0.08
296	60	merge	random	fwdrev	single	75	76	0.01
297	120	quick	fwdrev	reverse	zipper	181	188	0.04
298	60	random	reverse	revfwd	single	870	870	0.00
299	60	triple	revfwd	interleave	single	36	37	0.03
300	60	quick	interleave	reverse	single	107	112	0.05
301	30	evenodd	reverse	revfwd	single	28	28	0.00
302	90	triple	revfwd	random	single	48	49	0.02
303	90	merge	random	reverse	single	114	117	0.03
304	90	evenodd	reverse	fwdrev	single	89	89	0.00
305	30	swap	fwdrev	revfwd	single	87	101	0.15
306	10	selection	revfwd	reverse	single	20	20	0.00
307	10	random	reverse	interleave	single	25	25	0.00
308	10	insertion	interleave	fwdrev	single	20	20	0.00
309	5	swap	fwdrev	revfwd	single	4	4	0.00
310	15	swap	revfwd	reverse	single	24	25	0.04
311	15	evenodd	reverse	fwdrev	single	14	14	0.00
312	15	merge	fwdrev	reverse	single	14	14	0.00
313	30	selection	reverse	interleave	single	225	225	0.00
314	30	swap	interleave	random	single	82	80	0.02
315	30	dinsertion	random	fwdrev	single	205	176	0.15
316	30	evenodd	fwdrev	reverse	single	29	29	0.00
317	30	random	reverse	random	single	208	215	0.03
318	30	random	random	fwdrev	single	186	220	0.17
319	10	insertion	fwdrev	reverse	single	25	25	0.00
320	20	insertion	revfwd	fwdrev	rightleft	90	90	0.00
321	40	swap	fwdrev	revfwd	rightleft	124	144	0.15
322	40	swap	revfwd	fwdrev	rightleft	126	136	0.08
323	40	dinsertion	fwdrev	revfwd	rightleft	380	380	0.00
324	120	insertion	revfwd	fwdrev	rightleft	3540	3540	0.00
325	360	random	fwdrev	revfwd	rightleft	32220	32220	0.00
326	180	insertion	reverse	revfwd	single	8010	8010	0.00
327	180	random	revfwd	forward	single	8100	8100	0.00
328	60	dinsertion	forward	fwdrev	single	870	870	0.00
329	180	dinsertion	fwdrev	reverse	single	8100	8100	0.00
330	60	swap	reverse	forward	single	237	258	0.08
331	60	merge	forward	revfwd	single	31	31	0.00
332	60	quick	revfwd	fwdrev	single	111	114	0.03
333	180	merge	fwdrev	revfwd	single	90	90	0.00
334	90	random	revfwd	fwdrev	single	2025	2025	0.00
335	30	swap	fwdrev	random	single	79	76	0.04
336	30	selection	random	revfwd	single	211	219	0.04
337	60	merge	revfwd	reverse	zipper	58	58	0.00
338	60	insertion	reverse	forward	zipper	1680	1680	0.00
339	60	selection	forward	fwdrev	zipper	840	840	0.00
340	60	insertion	fwdrev	revfwd	zipper	840	840	0.00
341	20	selection	revfwd	forward	zipper	80	80	0.00
342	20	selection	forward	fwdrev	zipper	80	80	0.00
343	20	dinsertion	fwdrev	revfwd	zipper	80	80	0.00
344	40	evenodd	revfwd	fwdrev	zipper	39	39	0.00
345	80	evenodd	fwdrev	revfwd	zipper	79	79	0.00
346	80	selection	revfwd	fwdrev	zipper	1520	1520	0.00
347	80	swap	fwdrev	reverse	zipper	220	235	0.07
348	80	quick	reverse	fwdrev	zipper	130	131	0.01
349	80	triple	fwdrev	reverse	zipper	54	54	0.00
350	40	selection	reverse	forward	zipper	720	720	0.00
351	40	random	forward	fwdrev	zipper	360	360	0.00
352	20	selection	fwdrev	forward	zipper	80	80	0.00
353	20	random	forward	revfwd	zipper	80	80	0.00
354	20	swap	revfwd	reverse	zipper	24	22	0.09
355	10	quick	reverse	fwdrev	single	12	11	0.09
356	20	swap	fwdrev	forward	single	39	42	0.07
357	20	merge	forward	revfwd	single	11	11	0.00
358	20	random	revfwd	reverse	single	90	90	0.00
359	20	random	reverse	fwdrev	single	100	100	0.00
360	20	triple	fwdrev	revfwd	single	19	19	0.00
361	20	triple	revfwd	fwdrev	single	19	19	0.00
362	40	quick	fwdrev	reverse	single	63	62	0.02
363	80	selection	reverse	fwdrev	zipper	1520	1520	0.00
364	80	quick	fwdrev	forward	zipper	96	92	0.04
365	80	insertion	forward	reverse	zipper	3040	3040	0.00
366	40	swap	reverse	forward	single	138	138	0.00
367	120	dinsertion	forward	revfwd	single	3600	3600	0.00
368	40	evenodd	revfwd	fwdrev	single	39	39	0.00
369	80	selection	fwdrev	revfwd	zipper	1520	1520	0.00
370	80	evenodd	revfwd	fwdrev	zipper	79	79	0.00
371	40	merge	fwdrev	revfwd	zipper	20	20	0.00
372	20	selection	revfwd	forward	single	100	100	0.00
373	20	triple	forward	fwdrev	single	13	13	0.00
374	20	dinsertion	fwdrev	reverse	single	100	100	0.00
375	20	quick	reverse	forward	single	28	28	0.00
376	10	selection	forward	reverse	single	45	45	0.00
377	5	evenodd	reverse	forward	single	5	5	0.00
378	5	triple	forward	reverse	single	4	5	0.22
379	15	insertion	reverse	interleave	single	56	56	0.00
380	15	evenodd	interleave	revfwd	single	12	12	0.00
381	15	dinsertion	revfwd	forward	single	56	55	0.02
382	5	random	forward	random	single	3	6	0.67
383	5	selection	random	reverse	single	1	4	1.20
384	5	quick	reverse	forward	single	6	6	0.00
385	10	dinsertion	forward	reverse	single	45	45	0.00
386	30	merge	reverse	forward	single	29	29	0.00
387	30	selection	forward	reverse	single	435	435	0.00
388	60	selection	reverse	fwdrev	single	900	900	0.00
389	30	swap	fwdrev	reverse	single	77	65	0.17
390	60	insertion	reverse	forward	zipper	1680	1680	0.00
391	60	insertion	forward	revfwd	zipper	840	840	0.00
392	20	random	revfwd	fwdrev	zipper	80	80	0.00
393	10	selection	fwdrev	revfwd	single	25	25	0.00
394	10	quick	revfwd	fwdrev	single	14	13	0.07
395	20	swap	fwdrev	random	single	42	47	0.11
396	20	triple	random	revfwd	single	11	11	0.00
397	60	random	revfwd	forward	single	900	900	0.00
398	120	quick	fwdrev	revfwd	rightleft	164	173	0.05
399	240	triple	revfwd	fwdrev	rightleft	239	239	0.00
400	240	quick	forward	reverse	zipper	238	239	0.00
401	240	swap	reverse	fwdrev	zipper	1131	1140	0.01
402	240	evenodd	fwdrev	revfwd	zipper	239	239	0.00
403	720	selection	revfwd	forward	zipper	128880	128880	0.00
404	720	evenodd	fwdrev	revfwd	rightleft	719	719	0.00
405	360	insertion	reverse	fwdrev	single	32400	32400	0.00
406	120	swap	fwdrev	forward	single	510	504	0.01
407	60	merge	forward	revfwd	single	31	31	0.00
408	120	dinsertion	revfwd	forward	zipper	3480	3480	0.00
409	360	dinsertion	forward	revfwd	zipper	32040	32040	0.00
410	360	quick	revfwd	fwdrev	zipper	430	429	0.00
411	180	evenodd	fwdrev	random	single	141	175	0.22
412	180	evenodd	random	reverse	single	195	168	0.15
413	360	selection	reverse	forward	zipper	64080	64080	0.00
414	360	quick	fwdrev	revfwd	rightleft	506	483	0.05
415	360	selection	revfwd	fwdrev	rightleft	32220	32220	0.00
416	180	insertion	fwdrev	revfwd	rightleft	8010	8010	0.00
417	180	random	revfwd	fwdrev	rightleft	8010	8010	0.00
418	90	random	forward	reverse	single	4005	4005	0.00
419	180	evenodd	reverse	forward	zipper	180	180	0.00
420	180	swap	forward	reverse	zipper	807	815	0.01
421	180	merge	revfwd	fwdrev	rightleft	90	90	0.00
422	90	evenodd	forward	random	single	80	83	0.04
423	90	quick	random	fwdrev	single	171	184	0.07
424	45	quick	fwdrev	revfwd	single	81	60	0.30
425	90	swap	revfwd	random	single	366	359	0.02
426	90	swap	random	forward	single	374	396	0.06
427	180	triple	fwdrev	revfwd	rightleft	179	179	0.00
428	180	insertion	revfwd	fwdrev	rightleft	8010	8010	0.00
429	180	dinsertion	fwdrev	revfwd	rightleft	8010	8010	0.00
430	180	quick	revfwd	fwdrev	rightleft	248	239	0.04
431	180	triple	fwdrev	revfwd	rightleft	179	179	0.00
432	180	random	revfwd	fwdrev	rightleft	8010	8010	0.00
433	180	triple	fwdrev	revfwd	rightleft	179	179	0.00
434	90	random	reverse	fwdrev	single	2025	2025	0.00
435	45	selection	fwdrev	reverse	single	506	506	0.00
436	90	insertion	reverse	interleave	single	2025	2025	0.00
437	90	dinsertion	interleave	revfwd	single	1980	1981	0.00
438	30	quick	revfwd	fwdrev	single	51	55	0.08
439	30	triple	fwdrev	reverse	single	21	20	0.05
440	90	swap	reverse	forward	single	405	417	0.03
441	45	random	forward	revfwd	single	506	506	0.00
442	45	insertion	revfwd	forward	single	506	506	0.00
443	15	quick	forward	interleave	single	16	19	0.17
444	15	swap	interleave	revfwd	single	26	29	0.11
445	45	evenodd	revfwd	reverse	single	43	44	0.02
446	45	dinsertion	reverse	revfwd	single	484	473	0.02
447	90	swap	revfwd	forward	single	334	367	0.09
448	45	selection	forward	reverse	single	990	990	0.00
449	90	triple	reverse	forward	single	88	89	0.01
450	90	insertion	forward	reverse	single	4005	4005	0.00
451	90	swap	reverse	forward	single	405	423	0.04
452	45	evenodd	forward	reverse	single	45	45	0.00
453	45	evenodd	reverse	forward	single	45	45	0.00
454	15	evenodd	forward	interleave	single	13	14	0.07
455	15	swap	interleave	reverse	single	27	26	0.04
456	15	dinsertion	reverse	interleave	single	56	56	0.00
457	15	selection	interleave	reverse	single	56	56	0.00
458	15	dinsertion	reverse	interleave	single	56	56	0.00
459	15	quick	interleave	forward	single	18	17	0.06
460	15	triple	forward	random	single	8	12	0.40
461	15	dinsertion	random	fwdrev	single	49	71	0.37
462	30	merge	fwdrev	reverse	single	29	29	0.00
463	30	swap	reverse	interleave	single	77	67	0.14
464	30	swap	interleave	random	single	82	60	0.31
465	30	quick	random	interleave	single	47	52	0.10
466	30	random	interleave	revfwd	single	210	211	0.00
467	10	selection	revfwd	forward	single	25	25	0.00
468	10	insertion	forward	reverse	single	45	45	0.00
469	10	merge	reverse	revfwd	single	8	10	0.22
470	30	random	revfwd	forward	single	225	225	0.00
471	60	random	fwdrev	revfwd	rightleft	870	870	0.00
472	20	quick	revfwd	fwdrev	rightleft	24	23	0.04
473	40	selection	fwdrev	revfwd	rightleft	380	380	0.00
474	120	dinsertion	revfwd	fwdrev	rightleft	3540	3540	0.00
475	120	merge	fwdrev	revfwd	rightleft	60	60	0.00
476	120	swap	reverse	forward	zipper	492	459	0.07
477	60	quick	forward	interleave	single	97	102	0.05
478	60	dinsertion	interleave	fwdrev	single	870	870	0.00
479	120	dinsertion	fwdrev	reverse	single	3600	3600	0.00
480	120	merge	reverse	revfwd	single	122	119	0.02
481	60	quick	revfwd	interleave	single	102	104	0.02
482	60	swap	interleave	revfwd	single	205	216	0.05
483	180	evenodd	revfwd	reverse	single	178	178	0.00
484	60	triple	reverse	forward	single	59	59	0.00
485	60	insertion	forward	revfwd	single	900	900	0.00
486	60	evenodd	revfwd	random	single	51	54	0.06
487	60	triple	random	reverse	single	33	33	0.00
