Method	Old	New	Count	Trend	Avg	Err
merge	random	fwdrev	3	Linear	1.28	0.08
merge	random	forward	4	Linear	1.28	0.02
merge	random	interleave	2	Linear	1.31	0.02
merge	random	revfwd	1	Unknown	1.15	0.00
merge	random	reverse	1	Unknown	1.30	0.00
quick	reverse	forward	23	Linear	1.17	0.45
quick	forward	reverse	20	Linear	1.20	0.44
quick	fwdrev	forward	21	Linear	1.35	0.47
quick	revfwd	fwdrev	63	Linear	1.38	0.53
quick	revfwd	forward	33	Linear	1.38	0.42
quick	fwdrev	revfwd	78	Linear	1.40	0.53
quick	fwdrev	reverse	34	Linear	1.49	0.39
quick	random	interleave	2	Linear	1.60	0.06
quick	interleave	revfwd	17	Linear	1.79	0.12
quick	forward	fwdrev	26	Linear	1.80	0.23
quick	revfwd	reverse	26	NlogN	0.24	0.46
quick	reverse	fwdrev	27	NlogN	0.27	0.26
quick	forward	interleave	11	NlogN	0.27	0.07
quick	forward	revfwd	30	NlogN	0.28	0.32
quick	reverse	revfwd	23	NlogN	0.29	0.27
quick	reverse	interleave	9	NlogN	0.30	0.17
quick	interleave	fwdrev	13	NlogN	0.30	0.05
quick	fwdrev	interleave	10	NlogN	0.31	0.02
quick	random	revfwd	3	NlogN	0.31	0.06
quick	random	fwdrev	5	NlogN	0.31	0.05
quick	random	reverse	4	NlogN	0.32	0.15
quick	interleave	reverse	10	NlogN	0.33	0.06
quick	interleave	forward	11	NlogN	0.33	0.10
quick	revfwd	interleave	12	NlogN	0.33	0.10
quick	random	forward	2	NlogN	0.34	0.04
random	interleave	forward	3	Linear	9.53	0.00
random	random	fwdrev	3	Quadratic	0.22	0.21
random	revfwd	random	7	Quadratic	0.23	0.30
random	reverse	revfwd	23	Quadratic	0.23	0.08
random	forward	fwdrev	25	Quadratic	0.24	0.08
random	fwdrev	forward	26	Quadratic	0.24	0.08
random	revfwd	reverse	29	Quadratic	0.24	0.08
random	interleave	fwdrev	8	Quadratic	0.24	0.07
random	revfwd	interleave	12	Quadratic	0.24	0.07
random	forward	interleave	7	Quadratic	0.24	0.07
random	reverse	fwdrev	23	Quadratic	0.24	0.11
random	random	interleave	5	Quadratic	0.24	0.16
random	random	revfwd	2	Quadratic	0.24	0.02
random	interleave	revfwd	4	Quadratic	0.24	0.02
